product_id,product_name,price,department,updated_at
3001,"Apple AirPods Pro 2, Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature",245.0,electronics & technology,2026-05-12T17:47:31.000Z
3002,"Apple AirTag - 1 Pack, Item Tracker with Apple Find My",30.0,electronics & technology,2026-05-12T17:47:31.000Z
3003,"Bose QuietComfort Headphones, Bluetooth Over Ear Noise Cancelling Headphones, Black",365.0,electronics & technology,2026-05-12T17:47:31.000Z
3004,"Official Hasbro Games Jenga Game with Digital Die, Wood Block Party Game, Family Games, 6+",28.0,toys & games,2026-05-12T17:47:31.000Z
3005,"Coca-Cola Classic Soda Pop, 12 fl oz Cans, 24 Pack",15.0,food & beverages,2026-05-12T17:47:31.000Z
3006,"Dawn EZ-Squeeze Ultra Dish Soap Dishwashing Liquid, Original Scent, 22.0 fl oz",5.0,household cleaning & home goods,2026-05-12T17:47:31.000Z
3007,"JBL Flip 7 - Portable waterproof and drop-proof speaker, Bold JBL Pro Sound with AI Sound Boost, 16Hrs of Playtime, and PushLock system with interchangeable accessories (Black)",165.0,electronics & technology,2026-05-12T17:47:31.000Z
3008,"Monopoly Board Game, Classic Game with Storage Tray and Larger Tokens, Family Games, 8+",20.0,toys & games,2026-05-12T17:47:31.000Z
3009,"Panasonic Eneloop BK-4MCCA4BA Pre-Charged Nickel Metal Hydride AAA Rechargeable Batteries, 4-Battery Pack",17.0,electronics & technology,2026-05-12T17:47:31.000Z
3010,"Scrabble Classic Crossword Board Game for Kids and Family Ages 8 and Up, 2-4 Players",30.0,toys & games,2026-05-12T17:47:31.000Z
3011,"UNO Card Game for Kids, Adults & Family Game Night, Original UNO Game of Matching Colors & Numbers",10.0,toys & games,2026-05-12T17:47:31.000Z
3012,"Wilson Evolution Official Game Basketball - 29.5""",100.0,sports & recreation,2026-05-12T17:47:31.000Z
3013,"Magic 8 Ball Kids Toy, Novelty Fortune Teller Gag Gift, Ask a Question & Turn Over for Answer",15.0,toys & games,2026-05-12T17:47:31.000Z
3014,Pyrex 1-cup Measuring Cup,15.0,household cleaning & home goods,2026-05-12T17:47:31.000Z
3015,"Penn Championship Extra Duty Tennis Balls (1 Can, 3 balls)",8.99,sports & recreation,2026-05-12T17:47:31.000Z
3016,"The Grand Budapest Hotel (Blu-ray), 20th Century Fox, Comedy",16.0,movies & entertainment,2026-05-12T17:47:31.000Z
3017,"The Wild Robot (Blu-ray + Digital Copy), Family, DreamWorks",23.99,movies & entertainment,2026-05-12T17:47:31.000Z
